-1,01625555026  10,3603603604
-0,0127835644208  15,2252252252
-0,0147502666394  17,5675675676
0,491297342683  14,8648648649
0,997420594398  12,0720720721
1,5286571206  9,36936936937
2,00807860757  8,37837837838
4,00118002133  4,59459459459
6,0179575041  2,61261261261
7,98344944441  1,71171171171
9,99901664889  1,17117117117
